name,breed_group,adaptability,friendliness,health_and_needs,trainability,physical_needs,height_od,height_do,weight_od,weight_do,life_od,life_do
sealyham-terrier,Terrier Dogs,4,4,3,3,4,25,25,9,10,12,14
sheepadoodle,Mixed Breed Dogs,4,5,3,3,4,40,55,27,36,12,15
shepsky,Mixed Breed Dogs,3,4,3,4,5,50,63,20,39,10,14
shetland-sheepdog,Herding Dogs,3,5,3,3,4,33,40,9,9,12,15
shiba-inu,Companion Dogs,4,3,3,4,3,33,43,7,10,12,16
shichon,Mixed Breed Dogs,3,5,3,2,4,22,30,4,6,12,18
shih-poo,Mixed Breed Dogs,3,4,2,3,3,20,45,3,8,13,13
shih-tzu,Companion Dogs,3,5,2,3,3,22,25,4,7,10,16
shiloh-shepherd,Working Dogs,3,5,4,4,4,66,76,36,58,9,14
shiranian,Mixed Breed Dogs,3,4,2,2,3,17,30,1,7,12,16
shollie,Mixed Breed Dogs,3,3,3,4,4,53,73,31,36,13,15
shorkie,Mixed Breed Dogs,3,3,2,3,4,15,35,2,6,11,16
siberian-husky,Working Dogs,3,5,3,4,5,50,58,15,27,12,15
silken-windhound,Hound Dogs,4,4,3,4,4,45,45,9,24,14,20
silky-terrier,Companion Dogs,3,3,3,4,4,22,25,3,4,12,15
skye-terrier,Terrier Dogs,4,4,3,4,4,22,25,11,18,12,14
sloughi,Hound Dogs,3,4,3,3,4,60,73,18,28,12,16
small-munsterlander-pointer,Sporting Dogs,3,5,3,4,5,48,55,18,27,12,14
soft-coated-wheaten-terrier,Terrier Dogs,3,5,3,3,4,43,48,13,18,12,15
spanish-mastiff,Working Dogs,3,3,3,2,3,66,88,63,99,10,12
spinone-italiano,Sporting Dogs,4,5,3,3,4,55,71,27,39,10,14
springador,Mixed Breed Dogs,3,3,3,4,4,45,60,22,40,10,14
stabyhoun,Sporting Dogs,3,4,3,4,4,48,50,20,22,13,14
staffordshire-bull-terrier,Terrier Dogs,2,4,3,3,4,35,40,10,17,12,14
staffy-bull-bullmastiff,Hybrid Dogs,2,3,3,2,2,35,68,17,58,12,16
standard-schnauzer,Working Dogs,3,3,2,4,5,,,13,22,13,16
sussex-spaniel,Sporting Dogs,4,5,3,3,2,,,15,20,11,14
swedish-lapphund,Herding Dogs,3,4,3,4,4,40,50,13,20,12,14
swedish-vallhund,Herding Dogs,3,4,4,3,5,,,9,15,12,15
taiwan-dog,Hound Dogs,3,3,3,4,4,40,53,11,18,10,13
terripoo,Mixed Breed Dogs,3,4,2,4,4,22,38,4,6,10,15
texas-heeler,Mixed Breed Dogs,3,3,3,4,4,40,55,11,22,12,15
tibetan-mastiff,Working Dogs,3,4,3,3,3,,,34,72,10,14
tibetan-spaniel,Companion Dogs,3,4,3,4,4,25,25,4,6,12,15
tibetan-terrier,Companion Dogs,4,4,2,3,5,35,40,9,10,12,15
toy-fox-terrier,Companion Dogs,3,4,3,4,5,20,27,1,3,13,14
transylvanian-hound,Hound Dogs,3,3,3,3,4,45,63,24,34,10,12
treeing-tennessee-brindle,Hound Dogs,2,4,4,3,4,40,60,13,20,10,12
treeing-walker-coonhound,Hound Dogs,3,4,4,4,4,50,68,20,36,12,13
valley-bulldog,Mixed Breed Dogs,3,4,4,3,4,30,63,22,56,8,12
vizsla,Sporting Dogs,3,5,3,4,5,53,60,20,29,10,14
weimaraner,Sporting Dogs,3,4,4,4,5,58,68,24,38,11,13
welsh-springer-spaniel,Sporting Dogs,4,4,3,4,5,43,48,15,24,10,15
welsh-terrier,Terrier Dogs,3,5,3,4,5,35,38,9,9,10,14
west-highland-white-terrier,Terrier Dogs,4,4,3,4,4,25,27,5,9,12,16
westiepoo,Mixed Breed Dogs,3,4,3,4,4,27,43,9,15,12,15
whippet,Hound Dogs,3,5,3,4,4,45,55,8,21,12,15
whoodle,Mixed Breed Dogs,3,4,3,2,4,30,50,9,20,12,15
wirehaired-pointing-griffon,Sporting Dogs,3,5,3,4,4,50,60,22,27,10,14
xoloitzuintli,Companion Dogs,3,3,3,4,3,,,4,22,14,20
yorkipoo,Hybrid Dogs,4,4,2,4,4,17,38,1,6,10,15
yorkshire-terrier,Companion Dogs,3,3,2,3,5,20,22,1,2,12,15
